"","Rhododendron_leptothrium","Rhododendron_decorum","Ficus_heteromorpha","Osbeckia_mepalensis","Vaccinium_duclouxii","Itoa_orientalis","Illicium_macranthum","Manglietia_insignis","Beilschmiedia_robusta","Sterculia_nobilis","Saurauia_napaulensis","Padus_napaulensis","Craibiodendron_yunnanense","Rhododendron_irroratum","Ilex_corallina","Lithocarpus_hancei","Schefflera_fengii","Skimmia_arborescens","Litsea_chunii","Claoxylon_khasianum","Schefflera_shweliensis","Camellia_forrestii","Rhododendron leptothrium"
"Primary2900",6,8,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Primary3900",3,7,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Secondary1900",8,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Secondary2900",11,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Secondary3900",5,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Primary1900",4,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Secondary1600",0,4,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Secondary2600",0,1,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Secondary3600",0,1,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Primary1600",4,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Primary2600",0,4,1,1,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Primary3600",0,3,2,3,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Primary1500",0,1,0,0,0,0,1,0,0,0,0,4,0,2,1,0,0,0,0,0,0,0,0
"Primary2500",0,0,0,0,0,0,4,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0
"Primary3500",0,0,0,0,0,0,2,7,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0
"Secondary1500",0,0,1,0,0,1,0,3,0,0,0,0,1,2,0,0,1,1,2,0,0,0,0
"Secondary2500",0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
"Secondary3500",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0
"Secondary1800",0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"Secondary2800",6,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Secondary3800",8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Primary1800",4,5,14,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Primary2800",4,3,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Primary3800",6,6,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
